CLUSTER ID,Cluster Name,LATITUDE,LONGITUDE,TYPE,Name FME/Infra,STATUS (Existing/Proposed),Condition
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hand Tractor with Trailer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hand Tractor with Trailer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hand Tractor with Trailer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hand Tractor with Trailer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hand Tractor with Trailer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hand Tractor with Trailer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Compact Tiller Rotavator,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Compact Tiller Rotavator,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Compact Tiller Rotavator,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Compact Tiller Rotavator,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Compact Tiller Rotavator,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Compact Tiller Rotavator,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
